generation,best_reward,mean_reward,reward_std,best_ever_reward
41,4.800000190734863,1.0968749523162842,1.5500977039337158,8.800000190734863
42,6.200000286102295,1.890625,1.4005266427993774,8.800000190734863
43,2.4000000953674316,-1.295312523841858,1.857033133506775,8.800000190734863
44,3.5,-1.1984374523162842,1.5653966665267944,8.800000190734863
45,5.099999904632568,-0.16249999403953552,1.8816964626312256,8.800000190734863
46,5.5,0.5750000476837158,1.7201017141342163,8.800000190734863
47,5.0,0.6671875715255737,1.8252614736557007,8.800000190734863
48,2.5,-1.265625,1.7518043518066406,8.800000190734863
49,7.099999904632568,2.3890624046325684,1.808237910270691,8.800000190734863
50,4.300000190734863,-0.05937497317790985,1.515206217765808,8.800000190734863
51,3.5,-0.03281249478459358,1.7251861095428467,8.800000190734863
52,4.300000190734863,0.5625,1.466234564781189,8.800000190734863
53,2.200000047683716,-2.2718751430511475,2.25862717628479,8.800000190734863
54,6.0,0.8875000476837158,1.6692532300949097,8.800000190734863
55,4.400000095367432,-1.123437523841858,2.0937960147857666,8.800000190734863
56,4.599999904632568,0.20000000298023224,1.9997656345367432,8.800000190734863
57,4.5,0.2953124940395355,1.7039870023727417,8.800000190734863
58,4.099999904632568,0.03281248360872269,1.656337857246399,8.800000190734863
59,3.5,-0.682812511920929,1.3736988306045532,8.800000190734863
60,4.400000095367432,0.8406250476837158,1.3254384994506836,8.800000190734863
61,5.800000190734863,0.3109375238418579,1.8666578531265259,8.800000190734863
62,5.099999904632568,0.6328125,1.9503248929977417,8.800000190734863
63,2.4000000953674316,-1.560937523841858,1.872967004776001,8.800000190734863
64,5.5,0.9265625476837158,1.553146243095398,8.800000190734863
65,4.599999904632568,1.1843750476837158,1.5505260229110718,8.800000190734863
66,4.599999904632568,0.8046875,1.4085043668746948,8.800000190734863
67,6.900000095367432,0.9468750357627869,1.867398738861084,8.800000190734863
68,6.200000286102295,1.9656251668930054,1.9123135805130005,8.800000190734863
69,5.400000095367432,0.9031250476837158,1.8103840351104736,8.800000190734863
70,4.400000095367432,-0.08437500894069672,1.7947161197662354,8.800000190734863
71,4.400000095367432,0.7828125357627869,1.9008677005767822,8.800000190734863
72,3.299999952316284,0.5218750238418579,1.6041419506072998,8.800000190734863
73,5.700000286102295,1.365625023841858,1.6772576570510864,8.800000190734863
74,6.599999904632568,1.0281250476837158,1.9460270404815674,8.800000190734863
75,2.6000001430511475,-0.17812499403953552,1.5430762767791748,8.800000190734863
76,8.199999809265137,1.467187523841858,1.9210231304168701,8.800000190734863
77,5.599999904632568,1.2531249523162842,1.774997353553772,8.800000190734863
78,8.600000381469727,3.7046875953674316,2.1397597789764404,8.800000190734863
79,8.800000190734863,2.9875001907348633,1.8879966735839844,8.800000190734863
80,8.699999809265137,2.9593749046325684,2.0577383041381836,8.800000190734863
81,7.400000095367432,2.1390626430511475,1.9830231666564941,8.800000190734863
82,4.300000190734863,0.19218751788139343,2.025409460067749,8.800000190734863
83,6.800000190734863,2.253124952316284,1.9441393613815308,8.800000190734863
84,10.199999809265137,4.678124904632568,1.997769832611084,10.199999809265137
85,10.0,2.7484374046325684,2.3260746002197266,10.199999809265137
86,10.90000057220459,4.767187595367432,1.9815598726272583,10.90000057220459
87,7.200000286102295,3.1359376907348633,1.8370635509490967,10.90000057220459
